127.0.0.1 - - [26/Mar/2024:10:20:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:20:03 +0900] "GET /ch02_HTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:20:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:28:40 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s01_basic.html HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:30:08 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s01_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:10:51:37 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s01_basic.html HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:04:28 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s01_basic.html HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:05:29 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s01_basic.html HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:11:56 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:12:54 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:14:01 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:16:08 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:17:35 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:19:02 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:21:53 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:21:54 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:21:54 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:21:55 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:21:58 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 808
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:26:01 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:26:30 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:26:30 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:26:54 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:30:24 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:33:47 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 1126
0:0:0:0:0:0:0:1 - - [26/Mar/2024:11:37:42 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s02_character.html HTTP/1.1" 200 1320
