127.0.0.1 - - [18/Apr/2024:09:32:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:32:31 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:32:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:37:29 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:37:58 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:37:59 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:38:00 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:38:03 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:38:03 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:41:27 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:43:49 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:47:29 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 2573
0:0:0:0:0:0:0:1 - - [18/Apr/2024:09:50:55 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:04:23 +0900] "GET /ch02_HTML/ch36_bootstrap/s04_grid.html HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:10:10 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:10:10 +0900] "GET /ch02_HTML/files/Koala.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:10:49 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:12:28 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:12:28 +0900] "GET /ch02_HTML/files/Penguin.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:12:54 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:12:54 +0900] "GET /ch02_HTML/files/Penguins.jpg HTTP/1.1" 200 777835
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:14:41 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:38 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:15:38 +0900] "GET /ch02_HTML/files/landscape.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:19:10 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:19:10 +0900] "GET /ch02_HTML/files/Pengiuns.jpg HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:19:33 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:23:44 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1661
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:26:40 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:26:50 +0900] "GET /ch02_HTML/ch36_bootstrap/s05_images.html HTTP/1.1" 200 1890
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:34:12 +0900] "GET /ch02_HTML/ch36_bootstrap/s06_tables.html HTTP/1.1" 200 1290
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:36:40 +0900] "GET /ch02_HTML/ch36_bootstrap/s06_tables.html HTTP/1.1" 200 1797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:10:38:24 +0900] "GET /ch02_HTML/ch36_bootstrap/s06_tables.html HTTP/1.1" 200 2341
