127.0.0.1 - - [26/Apr/2024:09:45:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:45:27 +0900] "GET /ch03_Jsp/ch10_jdbc/selectTest.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:45:28 +0900] "GET /ch03_Jsp/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:45:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:48:01 +0900] "GET /ch03_Jsp/ch10_jdbc/detailTest.jsp?num=3 HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [26/Apr/2024:09:50:13 +0900] "GET /ch03_Jsp/ch11_jdbc/insertTest.jsp HTTP/1.1" 500 270
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:04:01 +0900] "GET /ch03_Jsp/ch11_jdbc/insertTest.jsp HTTP/1.1" 500 270
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:05:01 +0900] "GET /ch03_Jsp/ch11_jdbc/insertTestForm.jsp HTTP/1.1" 200 1103
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:05:01 +0900] "GET /ch03_Jsp/ch11_jdbc/script.js HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:05:03 +0900] "GET /ch03_Jsp/ch11_jdbc/selectTest.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:05:06 +0900] "GET /ch03_Jsp/ch11_jdbc/selectTest.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:05:37 +0900] "GET /ch03_Jsp/ch11_jdbc/selectTest.jsp HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:07:46 +0900] "GET /ch03_Jsp/ch11_jdbc/selectTest.jsp HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [26/Apr/2024:10:09:37 +0900] "GET /ch03_Jsp/ch11_jdbc/selectTest.jsp HTTP/1.1" 200 783
