127.0.0.1 - - [12/Apr/2024:09:39:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Apr/2024:09:39:28 +0900] "GET /ch02_HTML/ch27_JSRegular/s01_regular.html HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [12/Apr/2024:09:39:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Apr/2024:09:51:11 +0900] "GET /ch02_HTML/ch27_JSRegular/s01_regular.html HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [12/Apr/2024:09:51:26 +0900] "POST /ch02_HTML/ch27_JSRegular/a.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:18:07 +0900] "GET /ch02_HTML/ch27_JSRegular/s02_regular.html HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:18:13 +0900] "POST /ch02_HTML/ch27_JSRegular/a.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:18:26 +0900] "GET /ch02_HTML/ch27_JSRegular/s02_regular.html HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:18:39 +0900] "POST /ch02_HTML/ch27_JSRegular/a.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:31:39 +0900] "GET /ch02_HTML/ch27_JSRegular/s03_regular.html HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:31:50 +0900] "POST /ch02_HTML/ch27_JSRegular/a.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:31:59 +0900] "POST /ch02_HTML/ch27_JSRegular/a.jsp HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:32:25 +0900] "GET /ch02_HTML/ch27_JSRegular/s03_regular.html HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:50:06 +0900] "GET /ch02_HTML/ch25_JSEvent/s22_practice.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [12/Apr/2024:10:50:06 +0900] "GET /ch02_HTML/files/timg1.png HTTP/1.1" 200 14044
