127.0.0.1 - - [03/Apr/2024:09:35:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:35:39 +0900] "GET /ch02_HTML/ch17_JSBasic/s01_basic.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:35:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:35:58 +0900] "GET /ch02_HTML/ch17_JSBasic/s01_basic.html HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:37:41 +0900] "GET /ch02_HTML/ch17_JSBasic/s01_basic.html HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:48:56 +0900] "GET /ch02_HTML/ch17_JSBasic/s02_basic.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:48:56 +0900] "GET /ch02_HTML/ch17_JSBasic/script.js HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:50:47 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:51:03 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:51:04 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:51:04 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:09:51:04 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2024:10:03:34 +0900] "GET /ch02_HTML/ch17_JSBasic/s03_basic.html HTTP/1.1" 200 163
