127.0.0.1 - - [02/Apr/2024:08:58:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Apr/2024:08:58:41 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:08:58:41 +0900] "GET /ch02_HTML//files/emblum.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:08:58:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:01:11 +0900] "GET /ch02_HTML/ch05_CSSSelector/s10_attribute.html HTTP/1.1" 200 1635
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:06 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:45 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:46 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:46 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:47 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:47 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:47 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:47 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:48 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:48 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:48 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:48 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:49 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:49 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:49 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:50 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:50 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:50 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:02:51 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:09:54 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 1036
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:10:04 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:11:00 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:11:14 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:41:16 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:42:14 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:24 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:24 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:25 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:25 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:25 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:25 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:26 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:26 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:26 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:26 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:44:28 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:09:48:33 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [02/Apr/2024:10:04:23 +0900] "GET /ch02_HTML/ch14_CSSMedia/s01_media.html HTTP/1.1" 200 1391
0:0:0:0:0:0:0:1 - - [02/Apr/2024:10:07:28 +0900] "GET /ch02_HTML/ch01_HTMLBasic/s15_front.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:10:27:03 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s01_semantic.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [02/Apr/2024:10:29:41 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s01_semantic.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:09:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3030
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:12:39 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:13:29 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:15:14 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3327
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:15:15 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:15:15 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:15:15 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:16:35 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3518
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:19 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:28 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:51 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:53 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:54 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:55 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:19:55 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:00 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:04 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:05 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:05 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:05 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:17 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:17 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:17 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:26 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3677
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:20:30 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:24:32 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:28:19 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 4018
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:28:40 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 4019
0:0:0:0:0:0:0:1 - - [02/Apr/2024:11:30:26 +0900] "GET /ch02_HTML/ch15_HTMLSemantic/s02_semantic.html HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:09:46 +0900] "GET /ch02_HTML/ch16_CSSMainPage/s01_main.html HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:09:46 +0900] "GET /ch02_HTML/files/coffee.jpg HTTP/1.1" 200 24583
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:09:46 +0900] "GET /ch02_HTML/files/map.jpg HTTP/1.1" 200 23422
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:09:46 +0900] "GET /ch02_HTML//files/ice.jpg HTTP/1.1" 200 28310
0:0:0:0:0:0:0:1 - - [02/Apr/2024:12:14:06 +0900] "GET /ch02_HTML/ch16_CSSMainPage/s01_main.html HTTP/1.1" 200 2330
